timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status
2024-01-01 00:00:00,4,695,11.69,524,109,66,Stormy,23.95,60.0,0,Yellow
2024-01-01 00:05:00,4,1312,5.0,978,196,132,Rainy,23.46,80.0,1,Red
2024-01-01 00:10:00,4,1277,5.0,951,190,124,Rainy,28.7,80.0,1,Yellow
2024-01-01 00:15:00,5,1156,5.0,862,181,117,Cloudy,22.21,60.0,0,Yellow
2024-01-01 00:20:00,2,1066,10.77,789,151,110,Cloudy,23.92,60.0,0,Red
2024-01-01 00:25:00,4,1286,5.0,964,191,120,Rainy,23.41,80.0,0,Yellow
2024-01-01 00:30:00,3,1299,5.0,977,199,127,Cloudy,24.63,60.0,0,Red
2024-01-01 00:35:00,5,1190,5.49,896,175,120,Cloudy,28.08,60.0,0,Red
2024-01-01 00:40:00,3,1195,5.0,897,169,118,Rainy,25.71,80.0,0,Red
2024-01-01 00:45:00,3,1373,5.0,1032,210,134,Sunny,24.37,60.0,0,Red
2024-01-01 00:50:00,4,1498,5.0,1120,228,148,Sunny,24.26,60.0,0,Red
2024-01-01 00:55:00,4,1461,5.0,1115,218,141,Sunny,23.37,60.0,0,Yellow
2024-01-01 01:00:00,1,1662,5.0,1257,254,163,Sunny,22.24,65.18,0,Red
2024-01-01 01:05:00,1,1697,5.0,1280,248,165,Sunny,23.96,65.18,0,Red
2024-01-01 01:10:00,5,1112,5.0,829,171,119,Rainy,24.16,85.18,0,Yellow
2024-01-01 01:15:00,3,1419,5.0,1069,217,137,Cloudy,23.77,65.18,0,Red
2024-01-01 01:20:00,2,1131,9.99,832,170,114,Sunny,23.98,65.18,0,Red
2024-01-01 01:25:00,3,1397,5.0,1056,218,142,Cloudy,22.08,65.18,0,Red
2024-01-01 01:30:00,2,1156,8.83,874,168,111,Sunny,20.15,65.18,0,Red
2024-01-01 01:35:00,3,1258,5.0,934,184,125,Rainy,23.09,85.18,0,Red
2024-01-01 01:40:00,3,1447,5.0,1081,219,158,Sunny,22.35,65.18,0,Red
2024-01-01 01:45:00,1,861,5.04,651,119,87,Stormy,22.51,65.18,0,Yellow
2024-01-01 01:50:00,5,1237,5.0,934,186,126,Sunny,25.94,65.18,0,Yellow
2024-01-01 01:55:00,2,1151,5.0,867,169,106,Sunny,23.35,65.18,0,Red
2024-01-01 02:00:00,2,757,32.55,573,119,80,Foggy,21.3,70.0,0,Red
2024-01-01 02:05:00,4,1275,5.0,957,191,129,Rainy,16.24,90.0,0,Red
2024-01-01 02:10:00,5,1228,5.0,917,177,118,Sunny,20.84,70.0,0,Yellow
2024-01-01 02:15:00,2,934,14.9,692,139,95,Rainy,21.73,90.0,0,Red
2024-01-01 02:20:00,2,732,13.02,551,121,69,Foggy,23.85,70.0,0,Red
2024-01-01 02:25:00,3,1317,5.0,987,192,125,Sunny,19.79,70.0,0,Red
2024-01-01 02:30:00,2,950,7.67,713,154,97,Rainy,21.82,90.0,0,Yellow
2024-01-01 02:35:00,2,1063,10.16,813,153,116,Sunny,16.1,70.0,0,Red
2024-01-01 02:40:00,3,1304,5.0,972,189,130,Cloudy,19.14,70.0,0,Red
2024-01-01 02:45:00,2,1041,6.17,790,163,105,Sunny,21.16,70.0,0,Red
2024-01-01 02:50:00,1,1487,5.0,1109,224,151,Rainy,16.95,90.0,0,Red
2024-01-01 02:55:00,5,1166,5.65,880,163,104,Sunny,19.85,70.0,0,Yellow
2024-01-01 03:00:00,3,1112,5.0,834,169,107,Sunny,22.11,74.14,1,Yellow
2024-01-01 03:05:00,1,1245,5.0,934,187,123,Rainy,20.3,94.14,0,Yellow
2024-01-01 03:10:00,1,1358,5.0,1011,210,125,Cloudy,21.07,74.14,0,Red
2024-01-01 03:15:00,3,1150,5.0,868,175,119,Sunny,20.2,74.14,0,Yellow
2024-01-01 03:20:00,1,1313,5.0,985,201,133,Sunny,18.04,74.14,0,Red
2024-01-01 03:25:00,1,1366,5.0,1023,201,135,Sunny,16.45,74.14,0,Yellow
2024-01-01 03:30:00,4,1190,5.0,895,187,123,Sunny,16.78,74.14,0,Red
2024-01-01 03:35:00,5,989,13.79,749,149,92,Sunny,18.31,74.14,0,Red
2024-01-01 03:40:00,1,1364,5.0,1034,202,132,Sunny,18.15,74.14,0,Yellow
2024-01-01 03:45:00,1,1334,5.0,1003,201,141,Sunny,19.13,74.14,0,Red
2024-01-01 03:50:00,3,1062,9.58,807,167,102,Sunny,17.32,74.14,0,Red
2024-01-01 03:55:00,2,910,11.65,686,143,77,Sunny,16.62,74.14,0,Red
2024-01-01 04:00:00,2,646,26.56,500,103,60,Cloudy,16.57,77.32,0,Red
2024-01-01 04:05:00,1,912,5.0,666,136,93,Rainy,16.27,97.32,0,Red
2024-01-01 04:10:00,5,734,12.99,573,104,81,Sunny,14.71,77.32,0,Yellow
2024-01-01 04:15:00,4,941,11.35,701,138,90,Sunny,15.22,77.32,0,Yellow
2024-01-01 04:20:00,1,827,9.12,619,119,83,Rainy,20.29,97.32,0,Yellow
2024-01-01 04:25:00,5,725,19.87,543,110,72,Sunny,16.45,77.32,0,Red
2024-01-01 04:30:00,2,665,5.0,499,104,61,Cloudy,16.5,77.32,1,Red
2024-01-01 04:35:00,3,776,24.08,593,117,77,Sunny,14.59,77.32,0,Yellow
2024-01-01 04:40:00,5,647,29.52,486,92,72,Rainy,17.42,97.32,0,Red
2024-01-01 04:45:00,3,806,23.9,604,112,83,Sunny,15.95,77.32,0,Yellow
2024-01-01 04:50:00,5,708,22.53,522,103,58,Sunny,17.71,77.32,0,Red
2024-01-01 04:55:00,2,629,22.47,477,98,54,Rainy,21.57,97.32,0,Red
2024-01-01 05:00:00,5,455,23.55,336,66,37,Sunny,16.94,79.32,0,Green
2024-01-01 05:05:00,3,295,33.36,241,34,22,Foggy,15.8,79.32,0,Yellow
2024-01-01 05:10:00,4,562,39.11,396,80,59,Sunny,14.93,79.32,0,Red
2024-01-01 05:15:00,4,566,30.75,430,87,60,Sunny,16.62,79.32,0,Red
2024-01-01 05:20:00,5,380,40.75,282,61,36,Cloudy,17.94,79.32,0,Green
2024-01-01 05:25:00,3,507,19.82,368,67,46,Rainy,15.45,99.32,0,Yellow
2024-01-01 05:30:00,3,524,39.25,410,78,56,Sunny,17.36,79.32,0,Red
2024-01-01 05:35:00,1,610,31.17,467,88,59,Sunny,13.38,79.32,0,Red
2024-01-01 05:40:00,5,487,45.65,372,80,42,Sunny,13.98,79.32,0,Green
2024-01-01 05:45:00,2,283,40.73,210,42,37,Foggy,16.52,79.32,0,Red
2024-01-01 05:50:00,2,378,36.57,287,54,31,Cloudy,13.14,79.32,0,Green
2024-01-01 05:55:00,5,465,33.6,339,70,51,Sunny,14.85,79.32,0,Red
2024-01-01 06:00:00,2,206,50.11,152,32,14,Sunny,15.55,80.0,0,Green
2024-01-01 06:05:00,1,299,47.63,216,44,29,Sunny,15.32,80.0,0,Green
2024-01-01 06:10:00,5,230,54.14,195,31,28,Sunny,14.21,80.0,0,Green
2024-01-01 06:15:00,1,250,50.58,199,27,23,Cloudy,14.26,80.0,0,Red
2024-01-01 06:20:00,3,241,56.71,190,42,27,Sunny,12.74,80.0,0,Green
2024-01-01 06:25:00,1,293,46.65,217,42,32,Cloudy,15.89,80.0,0,Red
2024-01-01 06:30:00,4,160,26.7,122,20,19,Foggy,15.93,80.0,0,Green
2024-01-01 06:35:00,3,210,35.52,170,22,24,Rainy,12.17,100.0,0,Green
2024-01-01 06:40:00,1,359,41.9,265,60,46,Sunny,16.34,80.0,0,Green
2024-01-01 06:45:00,3,283,48.96,221,45,35,Sunny,15.25,80.0,0,Green
2024-01-01 06:50:00,2,183,43.31,153,35,13,Rainy,16.02,100.0,0,Red
2024-01-01 06:55:00,2,164,46.85,124,23,20,Sunny,14.75,80.0,0,Yellow
2024-01-01 07:00:00,3,83,32.89,49,13,9,Foggy,15.81,79.32,0,Red
2024-01-01 07:05:00,3,192,59.25,137,37,22,Sunny,14.22,79.32,0,Yellow
2024-01-01 07:10:00,4,97,5.0,79,19,5,Stormy,15.43,79.32,1,Red
2024-01-01 07:15:00,3,232,51.29,169,37,15,Cloudy,15.22,79.32,0,Red
2024-01-01 07:20:00,5,119,56.27,81,16,7,Rainy,16.57,99.32,0,Green
2024-01-01 07:25:00,3,136,32.07,111,17,14,Foggy,14.42,79.32,0,Green
2024-01-01 07:30:00,4,137,59.64,117,11,14,Sunny,18.12,79.32,0,Yellow
2024-01-01 07:35:00,5,116,46.29,94,17,17,Rainy,13.97,99.32,0,Green
2024-01-01 07:40:00,5,154,44.69,112,19,24,Sunny,15.68,79.32,0,Green
2024-01-01 07:45:00,5,144,48.96,107,22,22,Sunny,13.34,79.32,0,Green
2024-01-01 07:50:00,2,163,49.51,124,29,15,Cloudy,15.45,79.32,0,Green
2024-01-01 07:55:00,5,109,44.01,76,13,13,Rainy,14.1,99.32,0,Green
2024-01-01 08:00:00,5,297,38.47,205,45,20,Rainy,22.67,97.32,0,Red
2024-01-01 08:05:00,3,281,36.07,226,51,25,Cloudy,15.56,77.32,0,Red
2024-01-01 08:10:00,1,246,7.58,175,41,23,Foggy,16.54,77.32,1,Green
2024-01-01 08:15:00,5,143,48.5,119,23,20,Sunny,14.08,77.32,0,Green
2024-01-01 08:20:00,5,236,48.52,174,34,17,Cloudy,14.85,77.32,0,Red
2024-01-01 08:25:00,4,267,38.05,212,35,28,Rainy,15.55,97.32,0,Red
2024-01-01 08:30:00,5,240,45.03,170,36,22,Sunny,16.72,77.32,0,Green
2024-01-01 08:35:00,2,184,48.81,145,30,20,Sunny,15.09,77.32,0,Red
2024-01-01 08:40:00,1,309,42.11,251,42,22,Cloudy,19.11,77.32,0,Green
2024-01-01 08:45:00,1,351,47.85,246,50,28,Sunny,15.98,77.32,0,Yellow
2024-01-01 08:50:00,5,225,52.41,173,34,20,Sunny,19.44,77.32,0,Green
2024-01-01 08:55:00,2,116,39.74,86,22,13,Foggy,17.25,77.32,0,Yellow
2024-01-01 09:00:00,2,403,41.4,301,67,36,Cloudy,21.53,74.14,0,Green
2024-01-01 09:05:00,1,622,20.31,469,93,61,Sunny,15.57,74.14,0,Red
2024-01-01 09:10:00,2,428,33.13,324,66,42,Sunny,16.79,74.14,0,Green
2024-01-01 09:15:00,1,595,28.33,440,83,59,Sunny,16.37,74.14,0,Red
2024-01-01 09:20:00,1,615,22.89,464,92,70,Cloudy,20.7,74.14,0,Red
2024-01-01 09:25:00,1,623,30.58,477,90,68,Cloudy,18.32,74.14,0,Red
2024-01-01 09:30:00,3,547,30.35,427,87,66,Sunny,17.08,74.14,0,Red
2024-01-01 09:35:00,4,529,31.46,383,85,50,Cloudy,24.12,74.14,0,Yellow
2024-01-01 09:40:00,3,479,28.29,368,76,38,Rainy,16.13,94.14,0,Green
2024-01-01 09:45:00,4,569,27.3,425,83,64,Rainy,21.21,94.14,0,Red
2024-01-01 09:50:00,2,160,13.06,132,23,19,Stormy,16.49,74.14,0,Green
2024-01-01 09:55:00,2,407,38.19,288,60,39,Sunny,20.05,74.14,0,Green
2024-01-01 10:00:00,1,824,20.41,628,122,82,Rainy,19.81,90.0,0,Red
2024-01-01 10:05:00,4,442,8.75,341,63,36,Stormy,19.14,70.0,0,Yellow
2024-01-01 10:10:00,1,1002,5.0,756,139,103,Sunny,21.94,70.0,0,Red
2024-01-01 10:15:00,4,754,8.5,567,108,70,Rainy,23.23,90.0,1,Red
2024-01-01 10:20:00,3,827,20.38,630,109,93,Sunny,19.72,70.0,0,Yellow
2024-01-01 10:25:00,5,698,27.63,529,100,67,Sunny,18.81,70.0,0,Red
2024-01-01 10:30:00,2,572,24.99,435,83,59,Rainy,21.01,90.0,0,Yellow
2024-01-01 10:35:00,1,883,6.96,678,126,89,Rainy,18.49,90.0,0,Red
2024-01-01 10:40:00,1,661,17.2,489,97,72,Foggy,21.39,70.0,0,Red
2024-01-01 10:45:00,3,791,26.31,591,119,78,Cloudy,20.03,70.0,0,Red
2024-01-01 10:50:00,4,818,5.0,624,133,80,Rainy,19.93,90.0,0,Red
2024-01-01 10:55:00,2,658,26.04,494,92,65,Cloudy,16.73,70.0,0,Red
2024-01-01 11:00:00,2,874,21.79,656,133,81,Cloudy,21.45,65.18,0,Red
2024-01-01 11:05:00,3,1076,5.0,816,158,98,Sunny,23.21,65.18,0,Red
2024-01-01 11:10:00,2,885,22.32,658,135,93,Sunny,21.09,65.18,0,Yellow
2024-01-01 11:15:00,4,1199,5.81,889,180,132,Sunny,23.24,65.18,0,Red
2024-01-01 11:20:00,2,887,16.98,649,134,94,Sunny,20.59,65.18,0,Red
2024-01-01 11:25:00,2,875,9.8,651,128,87,Cloudy,24.6,65.18,0,Red
2024-01-01 11:30:00,5,847,15.46,649,118,86,Rainy,22.41,85.18,0,Yellow
2024-01-01 11:35:00,5,944,8.18,711,147,97,Rainy,21.86,85.18,0,Red
2024-01-01 11:40:00,4,1195,5.0,889,173,119,Sunny,20.87,65.18,0,Yellow
2024-01-01 11:45:00,5,1011,5.0,747,155,94,Sunny,22.03,65.18,0,Yellow
2024-01-01 11:50:00,4,1084,13.27,813,159,103,Rainy,23.67,85.18,0,Red
2024-01-01 11:55:00,1,1253,5.0,932,191,122,Cloudy,22.96,65.18,1,Yellow
2024-01-01 12:00:00,1,1422,5.0,1054,205,136,Rainy,23.56,80.0,0,Red
2024-01-01 12:05:00,3,1336,5.66,1001,204,134,Sunny,24.8,60.0,0,Red
2024-01-01 12:10:00,2,721,19.33,539,104,74,Foggy,23.2,60.0,0,Red
2024-01-01 12:15:00,4,1290,9.55,976,185,126,Rainy,26.86,80.0,0,Red
2024-01-01 12:20:00,1,1459,5.0,1093,218,143,Rainy,25.6,80.0,0,Red
2024-01-01 12:25:00,4,1421,5.0,1081,219,141,Sunny,27.98,60.0,0,Yellow
2024-01-01 12:30:00,3,1307,5.0,973,200,133,Cloudy,23.16,60.0,0,Red
2024-01-01 12:35:00,4,682,14.92,516,113,62,Stormy,24.58,60.0,0,Red
2024-01-01 12:40:00,5,1152,5.0,868,172,112,Sunny,24.22,60.0,0,Red
2024-01-01 12:45:00,5,1148,5.0,860,175,115,Cloudy,23.05,60.0,0,Red
2024-01-01 12:50:00,4,1479,5.0,1113,227,146,Sunny,27.05,60.0,0,Red
2024-01-01 12:55:00,1,829,5.0,605,122,82,Stormy,26.84,60.0,0,Red
2024-01-01 13:00:00,2,1135,5.0,861,169,110,Sunny,27.44,54.82,0,Yellow
2024-01-01 13:05:00,3,1192,5.0,896,178,116,Rainy,29.98,74.82,0,Red
2024-01-01 13:10:00,5,1168,5.0,861,182,115,Rainy,27.09,74.82,0,Red
2024-01-01 13:15:00,1,1499,5.0,1124,226,157,Rainy,28.6,74.82,0,Red
